Test Case ID,Test Case Name,Precondition,Test Steps,Expected Result,Priority
TC_LOGIN_001,Valid Login with Correct Credentials,User navigates to VWO login page,1. Enter valid email 2. Enter valid password 3. Click Login button,User should be logged in and redirected to dashboard,High
TC_LOGIN_002,Invalid Login with Wrong Password,User navigates to VWO login page,1. Enter valid email 2. Enter wrong password 3. Click Login button,Error message: Invalid email or password should be displayed,High
TC_LOGIN_003,Invalid Login with Wrong Email,User navigates to VWO login page,1. Enter invalid email 2. Enter valid password 3. Click Login button,Error message: Invalid email or password should be displayed,High
TC_LOGIN_004,Login with Empty Email Field,User navigates to VWO login page,1. Leave email field empty 2. Enter password 3. Click Login button,Error message: Please enter a valid email should be displayed,High
TC_LOGIN_005,Login with Empty Password Field,User navigates to VWO login page,1. Enter email 2. Leave password field empty 3. Click Login button,Error message: Password is required should be displayed,High
TC_LOGIN_006,Login with Both Fields Empty,User navigates to VWO login page,1. Leave both fields empty 2. Click Login button,Error message asking for email and password should be displayed,High
TC_LOGIN_007,Login with Spaces in Email,User navigates to VWO login page,1. Enter email with spaces 2. Enter password 3. Click Login,System should trim spaces and process correctly,Medium
TC_LOGIN_008,Special Characters in Password,User navigates to VWO login page,1. Enter email 2. Enter password with special characters 3. Click Login,Login should process if credentials are correct,Medium
TC_LOGIN_009,SQL Injection in Email Field,User navigates to VWO login page,1. Enter SQL payload in email 2. Enter password 3. Click Login,Injection should be blocked; error message displayed,High
TC_LOGIN_010,SQL Injection in Password Field,User navigates to VWO login page,1. Enter email 2. Enter SQL payload in password 3. Click Login,Injection should be blocked; error message displayed,High
TC_LOGIN_011,XSS Attack in Email Field,User navigates to VWO login page,1. Enter XSS payload in email 2. Enter password 3. Click Login,Script should not execute; input should be sanitized,High
TC_LOGIN_012,XSS Attack in Password Field,User navigates to VWO login page,1. Enter email 2. Enter XSS payload in password 3. Click Login,Script should not execute; input should be sanitized,High
TC_LOGIN_013,Email Format Validation Missing At Symbol,User navigates to VWO login page,1. Enter email without at symbol 2. Enter password 3. Click Login,Error: Please enter valid email format should display,Medium
TC_LOGIN_014,Email Format Validation Missing Domain,User navigates to VWO login page,1. Enter email without domain 2. Enter password 3. Click Login,Error: Please enter valid email format should display,Medium
TC_LOGIN_015,Email Format Validation Invalid Characters,User navigates to VWO login page,1. Enter email with invalid characters 2. Enter password 3. Click Login,Error: Please enter valid email format should display,Medium
TC_LOGIN_016,Password Length Minimum Boundary,User navigates to VWO login page,1. Enter email 2. Enter 1 character password 3. Click Login,Error or based on business rules,Medium
TC_LOGIN_017,Password Length Maximum Boundary,User navigates to VWO login page,1. Enter email 2. Enter very long password 3. Click Login,System should handle without crashing,Medium
